"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"8600000US00601","ZCTA5 00601","14398","null","1300","null",
"8600000US00602","ZCTA5 00602","16771","null","1141","null",
"8600000US00603","ZCTA5 00603","15786","null","1024","null",
"8600000US00606","ZCTA5 00606","14980","null","3558","null",
"8600000US00610","ZCTA5 00610","20167","null","1612","null",
"8600000US00612","ZCTA5 00612","19402","null","1114","null",
"8600000US00616","ZCTA5 00616","18903","null","2523","null",
"8600000US00617","ZCTA5 00617","17702","null","1846","null",
"8600000US00622","ZCTA5 00622","15640","null","2542","null",
"8600000US00623","ZCTA5 00623","17699","null","1371","null",
"8600000US00624","ZCTA5 00624","17161","null","1160","null",
"8600000US00627","ZCTA5 00627","18571","null","1593","null",
"8600000US00631","ZCTA5 00631","11476","null","2513","null",
"8600000US00637","ZCTA5 00637","18430","null","2452","null",
"8600000US00638","ZCTA5 00638","17634","null","1921","null",
"8600000US00641","ZCTA5 00641","15402","null","1449","null",
"8600000US00646","ZCTA5 00646","29757","null","3753","null",
"8600000US00647","ZCTA5 00647","13996","null","2170","null",
"8600000US00650","ZCTA5 00650","19368","null","2349","null",
"8600000US00652","ZCTA5 00652","22771","null","2315","null",
"8600000US00653","ZCTA5 00653","10977","null","1761","null",
"8600000US00656","ZCTA5 00656","17865","null","2082","null",
"8600000US00659","ZCTA5 00659","18998","null","1487","null",
"8600000US00660","ZCTA5 00660","19848","null","1567","null",
"8600000US00662","ZCTA5 00662","17216","null","1409","null",
"8600000US00664","ZCTA5 00664","15740","null","3173","null",
"8600000US00667","ZCTA5 00667","14472","null","951","null",
"8600000US00669","ZCTA5 00669","17199","null","1420","null",
"8600000US00670","ZCTA5 00670","14712","null","3386","null",
"8600000US00674","ZCTA5 00674","18790","null","1378","null",
"8600000US00676","ZCTA5 00676","16014","null","1263","null",
"8600000US00677","ZCTA5 00677","20027","null","4669","null",
"8600000US00678","ZCTA5 00678","17204","null","2135","null",
"8600000US00680","ZCTA5 00680","14825","null","1182","null",
"8600000US00682","ZCTA5 00682","14841","null","1946","null",
"8600000US00683","ZCTA5 00683","16441","null","1282","null",
"8600000US00685","ZCTA5 00685","15861","null","1411","null",
"8600000US00687","ZCTA5 00687","21191","null","1404","null",
"8600000US00688","ZCTA5 00688","17305","null","2107","null",
"8600000US00690","ZCTA5 00690","17246","null","5103","null",
"8600000US00692","ZCTA5 00692","21194","null","1418","null",
"8600000US00693","ZCTA5 00693","19970","null","1288","null",
"8600000US00694","ZCTA5 00694","-","-","**","**",
"8600000US00698","ZCTA5 00698","14811","null","1192","null",
"8600000US00703","ZCTA5 00703","20188","null","2010","null",
"8600000US00704","ZCTA5 00704","16734","null","2429","null",
"8600000US00705","ZCTA5 00705","20271","null","1609","null",
"8600000US00707","ZCTA5 00707","20419","null","2975","null",
"8600000US00714","ZCTA5 00714","16263","null","2560","null",
"8600000US00715","ZCTA5 00715","13288","null","4443","null",
"8600000US00716","ZCTA5 00716","17616","null","1419","null",
"8600000US00717","ZCTA5 00717","11838","null","900","null",
"8600000US00718","ZCTA5 00718","19220","null","2576","null",
"8600000US00719","ZCTA5 00719","18804","null","2544","null",
"8600000US00720","ZCTA5 00720","16072","null","1986","null",
"8600000US00723","ZCTA5 00723","17197","null","1628","null",
"8600000US00725","ZCTA5 00725","22847","null","1334","null",
"8600000US00727","ZCTA5 00727","30570","null","2244","null",
"8600000US00728","ZCTA5 00728","20131","null","1163","null",
"8600000US00729","ZCTA5 00729","22075","null","1297","null",
"8600000US00730","ZCTA5 00730","16036","null","1281","null",
"8600000US00731","ZCTA5 00731","15781","null","3114","null",
"8600000US00735","ZCTA5 00735","19097","null","2048","null",
"8600000US00736","ZCTA5 00736","22904","null","1242","null",
"8600000US00738","ZCTA5 00738","20808","null","2013","null",
"8600000US00739","ZCTA5 00739","20597","null","1713","null",
"8600000US00740","ZCTA5 00740","9611","null","5215","null",
