"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz11304","Washington DC, DC & MD & VA",101760
"cz37500","San Jose, CA",93702
"cz37800","San Francisco, CA",90008
"cz20402","Nantucket, MA",87869
"cz34104","Bristol Bay, AK",86904
"cz11301","Fredericksburg, VA",84698
"cz19600","Newark, NJ & NY",84016
"cz34114","Unalaska, AK",84009
"cz26412","Williston, ND",83972
"cz34701","Honolulu, HI",81279
"cz19500","Toms River, NJ",81202
"cz20500","Boston, MA",81171
"cz34109","Juneau, AK",80102
"cz34108","Kodiak, AK",80072
"cz20901","Bridgeport, CT",79694
"cz34102","Anchorage, AK",79432
"cz11302","Baltimore, MD",78141
"cz21501","Minneapolis, MN & WI",74627
"cz26410","Dickinson, ND",74395
"cz39400","Seattle, WA",73980
"cz28900","Denver, CO",73894
"cz34601","Gillette, WY",73363
"cz20600","Manchester, ME & NH",72618
"cz19400","New York, NY",71720
"cz34103","Valdez, AK",71701
"cz37601","Elko, NV",71666
"cz34113","Barrow, AK",71548
"cz34115","Fairbanks, AK",71270
"cz38000","San Diego, CA",71210
"cz28702","Glenwood Springs, CO",69663
"cz36100","Salt Lake City, UT",69514
"cz31201","Austin, TX",69451
"cz19300","Poughkeepsie, NY",69427
"cz36303","Jackson, ID & WY",69330
"cz24300","Chicago, IL",69232
"cz19800","Wilmington, DE & MD",68988
"cz33100","Dallas, TX",68975
"cz19700","Philadelphia, NJ & PA",68855
"cz26411","Sidney, MT & ND",68029
"cz34703","Kahului, HI",67941
"cz21701","Rochester, MN",67385
"cz31900","Pearland, TX",67080
"cz31401","Midland, TX",66824
"cz26201","Bismarck, ND",66744
"cz32000","Houston, TX",66519
"cz38200","Santa Barbara, CA",66462
"cz36000","Provo, UT",66394
"cz38801","Portland, OR & WA",66362
"cz34702","Kapaa, HI",66001
"cz2400","Richmond, VA",65890
"cz9100","Atlanta, GA",65704
"cz38300","Los Angeles, AZ & CA",65649
"cz28703","Granby, CO",65275
"cz36404","Rock Springs, UT & WY",65167
"cz34101","Sand Point, AK",65105
"cz28401","Colorado Springs, CO",64718
"cz33000","Fort Worth, TX",64477
"cz19902","Easton, MD",64414
"cz36402","Vernal, UT",64252
"cz1701","Raleigh, NC",64174
"cz26403","Bowman, ND",64156
"cz29502","Kansas City, KS & MO",64062
"cz34110","Sitka, AK",64033
"cz23100","Madison, WI",63958
"cz29501","Leavenworth, KS",63673
"cz27501","Des Moines, IA",63559
"cz18600","Albany, NY",63558
"cz37400","Sacramento, CA & NV",63413
"cz28800","Fort Collins, CO",63201
"cz28202","Omaha, IA & NE",63097
"cz2000","Virginia Beach, NC & VA",62726
"cz20401","Providence, MA & RI",62606
"cz20403","Oak Bluffs, MA",62600
"cz15900","Columbus, OH",62577
"cz34111","Ketchikan, AK",62377
"cz23400","Bloomington, IL",62361
"cz5600","Nashville, TN",62266
"cz37700","Santa Rosa, CA",62162
"cz17600","Charlottesville, VA",61998
"cz21400","St. Cloud, MN",61952
"cz26304","Minot, ND",61861
"cz22200","Cedar Rapids, IA",61774
"cz37602","Winnemucca, NV",61706
"cz24701","St. Louis, IL & MO",61679
"cz12701","Cincinnati, KY & OH",61487
"cz900","Charlotte, NC & SC",61320
"cz34603","Casper, WY",61235
"cz20200","Burlington, VT",61070
"cz27702","Cheyenne, NE & WY",60781
"cz19000","Allentown, PA",60717
"cz34105","Kotzebue, AK",60705
"cz26503","Sioux Falls, SD",60626
"cz14200","Indianapolis, IN",60622
"cz2500","Newport News, VA",60495
"cz27201","Sioux Center, IA",60130
"cz35001","Phoenix, AZ",59761
"cz17502","Winchester, VA & WV",59709
"cz24100","Milwaukee, WI",59589
"cz19200","Harrisburg, PA",59559
"cz36401","Steamboat Springs, CO",59387
"cz27011","Pierre, SD",59108
"cz21302","Owatonna, MN",59103
"cz34403","Helena, MT",58587
"cz11600","Detroit, MI",58530
"cz20302","Claremont, NH & VT",58492
"cz17400","Hagerstown, MD & PA & WV",58077
"cz22100","Iowa City, IA",58074
"cz31301","San Antonio, TX",57844
"cz31003","Scott City, KS",57813
"cz26204","Steele, ND",57798
"cz34602","Rawlins, WY",57790
"cz34301","Cody, WY",57620
"cz19100","Reading, PA",57607
"cz28101","Lincoln, NE",57531
"cz21201","Hutchinson, MN",57522
"cz22500","Oshkosh, WI",57488
"cz24802","Springfield, IL",57405
"cz20800","Springfield, MA",57403
"cz26801","Fargo, MN & ND",57361
"cz39301","Friday Harbor, WA",57322
"cz39100","Kennewick, OR & WA",57273
"cz37604","Reno, NV",57238
"cz16300","Pittsburgh, PA",57122
"cz26802","Lisbon, ND",57073
"cz6000","Huntsville, AL & TN",57044
"cz7100","Port St. Lucie, FL",56921
"cz30501","Woodward, OK",56848
"cz22601","Green Bay, WI",56813
"cz7600","Jacksonville, FL & GA",56652
"cz13101","Louisville, IN & KY",56575
"cz21301","Mankato, MN",56445
"cz14900","Gary, IN",56350
"cz23900","Peoria, IL",56290
"cz30801","Hobbs, NM & TX",56264
"cz18000","Buffalo, NY",56018
"cz34308","Billings, MT",55998
"cz23200","Dubuque, IA & IL",55872
"cz29301","Wichita, KS",55819
"cz8202","Charleston, SC",55762
"cz24000","Kenosha, WI",55622
"cz15200","Cleveland, OH",55508
"cz26803","Jamestown, ND",55455
"cz26502","Madison, SD",55361
"cz24900","Edwardsville, IL",55269
"cz7200","Cape Coral, FL",55173
"cz33803","Oklahoma City, OK",55134
"cz8800","Savannah, GA & SC",55044
"cz15100","Lorain, OH",55024
"cz10700","Birmingham, AL",55008
